frame	Unnamed: 0	x	y	mass	frame	particle
0	339	1289.5510375771173	386.869601794728	1388.6444952067484	0	9.0
1	340	1289.3867041198505	386.59035580524346	1548.2193231745093	1	9.0
2	341	1288.9612046962734	386.20316488004084	1433.0921284423691	2	9.0
3	342	1288.509548611111	385.40993923611114	1551.0813542572187	3	9.0
4	343	1288.1426178511604	385.60277578368033	1577.7022742996676	4	9.0
5	344	1288.5752108716024	384.9960168697282	1459.081578010551	5	9.0
6	345	1288.8077959776076	385.3396226415094	1526.1112451593738	6	9.0
7	346	1289.1921855921855	385.401221001221	1409.577080472738	7	9.0
8	347	1289.7322791712104	386.2977099236641	1317.237796070787	8	9.0
9	348	1289.9878754477818	386.2168641499035	1288.5781095346201	9	9.0
10	349	1289.9684405940593	385.98514851485146	1243.5083494897544	10	9.0
11	350	1290.4643069601427	385.9669839381321	1287.7542548820068	11	9.0
12	351	1290.458187599364	386.3783783783784	1138.774747239323	12	9.0
13	352	1290.5995717344756	386.78556133374116	1155.2431959248224	13	9.0
14	353	1291.0798065296249	386.27116082224916	1234.3744115797854	14	9.0
15	354	1291.0323871906842	385.83151382823866	994.241084353706	15	9.0
16	355	1291.0271794871796	386.9261538461538	1243.3273959812566	16	9.0
17	356	1291.3362344067305	388.2535538149115	1118.407894219831	17	9.0
18	357	1291.9413689664575	388.3114262339788	1173.2021631766395	18	9.0
19	358	1292.7217105263155	388.8671052631579	1030.9606303030273	19	9.0
20	359	1292.6200458565345	388.3072387815264	1059.5683249058427	20	9.0
21	360	1291.905871938625	387.9542637946297	1145.4114101715995	21	9.0
22	361	1292.9372844151774	388.7544684854186	1105.1692115933079	22	9.0
23	362	1293.676499508358	388.01540478531626	1120.708524011396	23	9.0
24	363	1296.0131116085706	388.90150303805575	1004.982386831832	24	9.0
25	364	1296.3899939722726	388.3212778782399	1116.0423483387017	25	9.0
26	365	1296.99831138129	387.73522458628855	998.1351069764587	26	9.0
27	366	1296.9927520316276	388.01120140566667	1424.7523471380703	27	9.0
28	367	1297.285064239829	388.77328693790156	1233.1578602661996	28	9.0
29	368	1297.43808672329	388.69870362092087	1432.3886631265432	29	9.0
30	369	1298.217860906217	388.9099051633298	1290.440511715613	30	9.0
31	370	1297.2231428571429	388.9531428571429	1182.9583238139398	31	9.0
32	371	1296.85959339263	389.4272554002541	1070.5136243695372	32	9.0
33	372	1297.1447704081634	389.04145408163276	1095.3724896962453	33	9.0
