	x	y	mass	frame	particle
0	1215.7093684525591	417.11792876384317	2788.5455586192306	0	0.0
1	1215.5450980392156	418.21443137254903	2731.765912543778	1	0.0
2	1215.5082264150944	418.30445283018867	2724.478590678246	2	0.0
3	1216.2849109653234	418.86832239925025	2876.3965121352653	3	0.0
4	1216.2560146009623	418.52530280404847	2754.638833996321	4	0.0
5	1217.282335907336	419.0278314028314	2730.1008542311997	5	0.0
6	1217.3929773929774	419.8534551867885	2542.5049155551337	6	0.0
7	1217.5691219437183	420.16669229586347	2620.5482122745943	7	0.0
8	1217.3966480446927	420.68715083798884	2469.89534363027	8	0.0
9	1217.748417721519	421.6686005625879	2464.3832369138854	9	0.0
10	1218.5707044223038	422.6255899318301	2404.758003845672	10	0.0
11	1219.0640090747042	423.03338194782043	2519.5760383442694	11	0.0
12	1219.3473197192086	423.75398851308233	2805.180909928103	12	0.0
13	1220.1065719360568	424.4505086387857	2533.6132742649434	13	0.0
14	1220.1389070680627	425.4250654450262	2699.044454929861	14	0.0
15	1220.8139607354317	426.0582736054846	2517.3459144392273	15	0.0
16	1220.7421120412105	426.9972633612363	2452.0342566009253	16	0.0
17	1220.456668311133	427.5495806610755	2483.2070197100925	17	0.0
18	1220.91309255079	428.4198645598194	2440.856643190267	18	0.0
19	1221.1333556709667	429.23253476294184	2568.9749198820264	19	0.0
20	1221.8262454434994	429.4504426314876	2306.517682574872	20	0.0
21	1222.5050803015404	429.9957391019338	2395.492674096059	21	0.0
22	1223.0352203280797	431.2375361852686	2570.5583219557134	22	0.0
23	1222.953835823401	432.22746348833306	2487.6240576913374	23	0.0
24	1223.000723065799	434.22252349963844	2369.307715902264	24	0.0
25	1223.271839581517	434.6906713164778	2504.551844265437	25	0.0
26	1223.382200820403	435.26645264847514	2365.063835650907	26	0.0
27	1223.5176686553466	436.3337922594462	2742.6785979602973	27	0.0
28	1223.8087724377533	436.69687319050377	2777.5374530038775	28	0.0
29	1223.9460086633662	437.5572400990099	2659.518086640326	29	0.0
30	1224.5961744726492	438.2157668930997	2539.3745670879753	30	0.0
31	1224.2861690838345	438.8447117085249	2508.8485901075055	31	0.0
32	1224.1561730566302	439.411537108688	2417.1322840061216	32	0.0
33	1223.990906084656	440.12152777777777	2668.8438535350137	33	0.0
34	1223.7856081861694	440.6312922924575	2599.356956928562	34	0.0
35	1223.786955773533	440.67372225090344	2613.289492735551	35	0.0
36	1223.5862930572907	441.9414599321792	2502.8926734629945	36	0.0
37	1224.908336276934	442.416990462734	2298.4019628904616	37	0.0
38	1225.184341755319	443.6449468085106	2634.6229723431434	38	0.0
39	1225.2205908683975	444.26875559534466	2516.7704717633205	39	0.0
40	1225.2139910313902	445.2222421524664	2404.1781925886967	40	0.0
41	1226.027958289255	446.5083874867765	2669.591088279271	41	0.0
42	1226.323988005997	447.25067466266864	2928.104833179128	42	0.0
43	1226.4085535465924	448.50278164116827	2356.371715006778	43	0.0
44	1226.5128771155262	448.9575055187638	2396.8410486996863	44	0.0
45	1227.21765847348	449.4209249676585	2555.5194991127573	45	0.0
46	1227.3994120889215	451.0306816094066	2334.7956325833748	46	0.0
47	1226.81591405681	451.57283321194467	2219.4159080321083	47	0.0
48	1227.5016089343176	452.1896649630892	2149.0169419328	48	0.0
49	1227.483786316776	452.960824742268	2303.967779878007	49	0.0
50	1227.780402595242	453.377308268175	2600.3773302572604	50	0.0
51	1228.5133244503663	453.9848434377082	2451.400100330294	51	0.0
52	1228.9103008204193	453.9272561531449	2495.5742381994255	52	0.0
53	1229.1824019437695	454.2906976744186	2562.807320149644	53	0.0
54	1229.420920080591	455.1242444593687	2691.6712449257216	54	0.0
55	1229.9441529235382	455.84576461769115	2406.07709013028	55	0.0
56	1230.167775033251	456.4592437773133	2399.2811482672228	56	0.0
57	1230.7769355711966	456.9583107742285	2284.312185382759	57	0.0
58	1230.5222482435597	457.8688524590164	2300.0282629663684	58	0.0
59	1230.4854202401373	458.54335810939585	2258.025215916071	59	0.0
60	1231.3110960986319	459.1504813376119	2496.2828732768867	60	0.0
61	1231.0461409395973	459.7946308724832	2604.929275757814	61	0.0
62	1231.0732965664472	460.4897705034691	2549.619547683284	62	0.0
63	1230.701614273577	460.5575191163976	2527.86285652035	63	0.0
64	1230.821985094851	461.6397357723577	2560.2155536965192	64	0.0
65	1230.8900808714309	463.18286846014195	2453.185556252374	65	0.0
66	1231.5443014705882	464.3602941176471	2186.722190847561	66	0.0
67	1231.8507596067918	465.85111706881145	2265.4857976618387	67	0.0
68	1232.0892796753467	466.05495434562056	2744.0044742125037	68	0.0
69	1231.8364004727334	466.4198885699814	2488.6449814329844	69	0.0
70	1231.9623646369607	466.74684892597196	2425.2007577410704	70	0.0
71	1232.2536656891496	467.054435483871	2434.2010327415574	71	0.0
72	1232.7146036637562	467.64903269988014	2692.986681595495	72	0.0
73	1232.8952817379497	468.14867617107944	2659.4200625333265	73	0.0
74	1233.0467666505403	468.8679245283019	2566.706796736088	74	0.0
75	1233.4005472892081	470.25568667692835	2412.2757672217067	75	0.0
