	Index	_1	x	y	mass	frame	particle
0	1741	28164	1476.7794836008375	851.7669225401256	708.8974243913732	1741	2966.0
1	1742	28165	1477.419594260267	850.4319643740723	937.2894480312586	1742	2966.0
2	1743	28166	1478.1059782608695	849.3217391304347	865.5869096968042	1743	2966.0
3	1744	28167	1477.869299221357	848.2486095661847	849.1290039037358	1744	2966.0
4	1745	28168	1477.0669359492208	847.2083092902483	767.1190696594379	1745	2966.0
5	1746	28169	1476.9761904761906	845.8957671957672	850.9720194553404	1746	2966.0
6	1747	28170	1476.789291026277	844.7094695091721	915.9210504497447	1747	2966.0
7	1748	28171	1476.8535502958578	844.3530571992111	844.1516880065677	1748	2966.0
8	1749	28172	1476.3037037037036	843.8814814814815	815.8059318374363	1749	2966.0
9	1750	28173	1476.1037170263792	843.2290167865707	758.9163578414667	1750	2966.0
10	1751	28174	1476.4226267880365	842.0663198959688	717.3402299536955	1751	2966.0
11	1752	28175	1476.9833045480716	841.9631548647093	762.6174247378901	1752	2966.0
12	1753	28176	1476.877425461429	840.4661618551822	888.5402128366159	1753	2966.0
13	1754	28177	1477.3136094674555	840.0441097364176	839.5608907225213	1754	2966.0
14	1755	28178	1477.9102950030106	840.0337146297411	754.7375056853213	1755	2966.0
15	1756	28179	1477.392082429501	838.9745119305858	813.3487737177156	1756	2966.0
16	1757	28180	1477.4354473386184	837.8963759909401	779.0834419589937	1757	2966.0
17	1758	28181	1477.3137662337665	837.3387012987014	818.0240599747667	1758	2966.0
18	1759	28182	1478.1490514905151	836.6975609756097	804.2375726894644	1759	2966.0
19	1760	28183	1478.2795817281233	835.2795817281233	776.8174079859979	1760	2966.0
20	1761	28184	1478.0150202195264	835.0623916811091	800.0340683903297	1761	2966.0
21	1762	28185	1477.5109826589594	834.4815028901734	809.0728623675137	1762	2966.0
22	1763	28186	1476.9680785758137	833.4383057090239	726.321622153392	1763	2966.0
23	1764	28187	1477.1291079812204	833.1766431924882	725.0876886716277	1764	2966.0
24	1765	28188	1476.9320148331274	833.0234857849198	711.9159821915723	1765	2966.0
25	1766	28189	1477.1597222222224	832.7858796296298	776.7344333699608	1766	2966.0
26	1767	28190	1477.5128205128203	832.1860465116278	750.1298290086756	1767	2966.0
27	1768	28191	1477.543391188251	831.1929238985314	709.4232055783383	1768	2966.0
28	1769	28192	1477.5127143701952	829.8746303962153	825.7260977250902	1769	2966.0
29	1770	28193	1478.0527353376044	828.9595860029573	919.8866657457297	1770	2966.0
30	1771	28194	1478.4437086092717	828.6980132450333	714.9177798513933	1771	2966.0
31	1772	28195	1478.3399136335595	827.1351017890191	759.3513710668174	1772	2966.0
32	1773	28196	1478.750970604548	826.1247920133112	811.3929637023413	1773	2966.0
33	1774	28197	1479.1214128035322	825.8096026490067	826.6238172843312	1774	2966.0
34	1775	28198	1478.3762781186097	824.4478527607363	853.9766689392895	1775	2966.0
35	1776	28199	1478.370240480962	823.1002004008017	943.3959023199194	1776	2966.0
36	1777	28200	1478.0453056768558	822.0120087336246	841.9764872079455	1777	2966.0
37	1778	28201	1478.1515320334265	821.2122562674093	817.6649299484477	1778	2966.0
38	1779	28202	1477.9364811691962	820.5283867341202	844.6779986481656	1779	2966.0
39	1780	28203	1478.4031093836754	820.0294280955025	853.4517426048142	1780	2966.0
40	1781	28204	1477.857142857143	819.4940476190477	926.2316004906377	1781	2966.0
41	1782	28205	1477.908358509567	818.7270896273918	866.7392951805441	1782	2966.0
42	1783	28206	1477.7538994800693	817.6366262276141	789.9566370094105	1783	2966.0
43	1784	28207	1477.9294990723565	817.0102040816327	845.4836931680403	1784	2966.0
44	1785	28208	1477.4576048951046	815.6354895104895	943.6922975396802	1785	2966.0
45	1786	28209	1476.8824343015217	813.8999538958044	891.5434668430487	1786	2966.0
46	1787	28210	1476.683629380701	812.8746999519922	877.8276448370128	1787	2966.0
47	1788	28211	1476.93954248366	811.9891067538125	809.7028291635121	1788	2966.0
