frame	Unnamed: 0	x	y	mass	frame	particle
0	1	1311.458087863996	366.1652920383774	3159.9092396548835	0	1.0
1	2	1310.4023839931886	365.7450830140485	2957.858269400465	1	1.0
2	3	1309.825	365.6247211895911	2714.6310562802964	2	1.0
3	4	1310.0935567524436	365.9594055455815	3152.851814027361	3	1.0
4	5	1310.6077243125906	365.914526049204	3186.167623601064	4	1.0
5	6	1310.4929859719439	366.2378441092712	2798.4309831059118	5	1.0
6	7	1310.9346733668342	366.4198879010437	2800.636359676233	6	1.0
7	8	1310.9160960765134	367.20584719052283	2471.1363252080096	7	1.0
8	9	1310.2140524492825	366.9961405244928	2545.8155888443885	8	1.0
9	10	1309.9387645862328	367.3827213360454	2479.5985967871698	9	1.0
10	11	1310.201964326033	367.62621359223294	2213.102097819493	10	1.0
11	12	1310.1905989073289	368.95897330172147	2213.4401916628726	11	1.0
12	13	1310.0212896622313	369.8237461617196	2107.8826826870227	12	1.0
13	14	1309.7887546855475	370.3983340274885	2440.227691817447	13	1.0
14	15	1310.5902270721335	369.86752788253233	2684.963818158268	14	1.0
15	16	1310.139437121482	370.84944780904885	3031.4530811209165	15	1.0
16	17	1309.6106218547807	371.04789719626166	3163.913198993725	16	1.0
17	18	1308.4422859134072	371.2458402299852	3138.0124234137597	17	1.0
18	19	1308.4802949610817	371.7888570258091	2906.5525835005933	18	1.0
19	20	1307.9186829804785	372.598707726148	3012.9657171832832	19	1.0
20	21	1308.6938453881885	372.88379230258795	2852.852538788047	20	1.0
21	22	1308.515472027972	373.81870629370627	2815.442463791843	21	1.0
22	23	1308.1431580653002	374.8006157336142	3066.6514965391552	22	1.0
23	24	1308.133822528179	375.2329979574855	3286.939932665025	23	1.0
24	25	1307.5226167138605	375.68663326798816	3167.88818608532	24	1.0
25	26	1306.992337449784	376.7414075286417	2887.115360396717	25	1.0
26	27	1307.640743583184	377.91046303402396	2866.1786417401563	26	1.0
27	28	1307.4000866551125	378.54055459272104	2857.344641452556	27	1.0
28	29	1307.7123026201632	378.9774423043554	2748.450762397566	28	1.0
29	30	1307.879848565356	380.12300743889483	3091.789510710591	29	1.0
30	31	1308.1875463856315	380.79671960813414	2853.8513374803606	30	1.0
31	32	1308.400343257966	380.6798000149242	3030.305959032379	31	1.0
32	33	1308.1241364264415	381.00967202385283	3227.415963706931	32	1.0
33	34	1308.7215109343936	381.2551888667992	2810.71988090906	33	1.0
34	35	1307.7548174839415	381.441720194266	2754.440349638691	34	1.0
35	36	1308.3078923839716	382.15622205966025	2800.3753287791997	35	1.0
36	37	1308.0695532012894	382.7642407492707	3033.5831644701075	36	1.0
37	38	1308.1298477943076	382.79138360994074	2944.691494402526	37	1.0
38	39	1308.211315554835	383.5156034692389	2899.7006696049402	38	1.0
39	40	1308.2797423337586	384.75206334295115	2927.867566815345	39	1.0
40	41	1308.2830466501573	384.9637909109162	2762.6347817114483	40	1.0
41	42	1308.5168521954233	385.0769171304885	3085.7326236748936	41	1.0
42	43	1307.2803270042193	386.54544655414907	2857.300691074967	42	1.0
43	44	1307.2235682819382	385.916977295832	2713.71628451642	43	1.0
44	45	1307.5201205727205	385.8804822908817	2798.0912010134307	44	1.0
45	46	1307.516748852236	386.2431559258629	2923.391677023804	45	1.0
46	47	1306.8795870634729	386.5464956851359	2795.370236488416	46	1.0
47	48	1306.6406814661848	388.38395161885103	3131.695544499609	47	1.0
48	49	1306.9467854376453	388.8067389620449	2945.387654000049	48	1.0
49	50	1306.794189579782	389.8737122952642	3219.8359311946833	49	1.0
50	51	1306.9474314706504	389.40652526249033	3101.9595882032363	50	1.0
51	52	1307.7566832804712	389.9314302975382	2949.6419126978276	51	1.0
52	53	1307.9318702687688	390.4630182651573	2765.0472836022473	52	1.0
53	54	1307.5993699309606	391.0080434345466	2986.758814969707	53	1.0
54	55	1307.126585676891	391.70602053829117	2969.6469026220684	54	1.0
55	56	1307.3963945152084	391.9321361453331	3017.520200051544	55	1.0
56	57	1307.6399011299436	392.1120056497175	3080.0863088886877	56	1.0
57	58	1307.7089370432107	393.1100782151558	3346.1356566153595	57	1.0
58	59	1307.7748560460652	394.1362763915547	3096.6661019939324	58	1.0
59	60	1307.2169992325405	394.66116653875673	3164.4571400414384	59	1.0
60	61	1307.4477633374022	395.163351762763	2631.790534558699	60	1.0
61	62	1307.271999447857	395.8166195044517	2560.9640133955586	61	1.0
62	63	1307.809977827051	396.3508499630451	2722.1878430643906	62	1.0
63	64	1308.1217898493946	397.3620614607818	2744.9825377464035	63	1.0
64	65	1307.695490469549	397.9002789400279	3142.250570473013	64	1.0
65	66	1307.6615318416525	398.2226333907057	2589.2205126637155	65	1.0
66	67	1308.149930264993	398.83488300015495	2895.4300030540344	66	1.0
67	68	1308.0166324903164	398.83359914938876	2972.084818617266	67	1.0
68	69	1308.7484719535782	399.4646034816248	2659.27093779698	68	1.0
69	70	1308.619084263178	400.2176991150442	2892.6754103792223	69	1.0
