	x	y	mass	frame	particle
0	1544.513373253493	501.91616766467064	2054.9858402882564	0	0.0
1	1545.2026126366302	503.09757398027193	2952.330593409878	1	0.0
2	1544.90737514518	503.8246225319396	2821.2098314495493	2	0.0
3	1544.2631083202511	504.40910518053374	2638.1072161973375	3	0.0
4	1544.532238065716	504.6590204587725	2618.392251757394	4	0.0
5	1544.829293628809	504.71606648199446	2365.6555188119064	5	0.0
6	1545.0347540983607	506.08	2478.9658990707367	6	0.0
7	1544.5995362702881	507.8704869161974	2454.802904387229	7	0.0
8	1544.271714922049	508.80066815144767	2213.5203199880066	8	0.0
9	1544.5849903784476	509.89480436177035	2541.3967792962926	9	0.0
10	1544.2368742368742	511.00457875457874	2574.231925726553	10	0.0
11	1544.3323000619962	512.5551766893986	2510.4406840385554	11	0.0
12	1544.0441567065072	513.0760292164674	2390.5339778116872	12	0.0
13	1544.4065406540653	514.1353135313532	2653.027738131681	13	0.0
14	1544.4122177954848	515.4276228419654	2984.385498384756	14	0.0
15	1544.1011152416356	516.1048327137546	2201.3831295212626	15	0.0
16	1545.0076023391812	517.166081871345	2825.080568000394	16	0.0
17	1544.2123837022777	517.9906961822265	2543.0296428920924	17	0.0
18	1544.7756329113924	519.0177215189873	2606.258386577293	18	0.0
19	1544.2410101564644	520.4575898984353	3033.109290947023	19	0.0
20	1544.5089090340732	521.4960925289153	2640.3084038371167	20	0.0
21	1544.3702981331846	522.2279186402898	2893.384307389756	21	0.0
22	1543.9865269461077	523.111377245509	2744.6604133475616	22	0.0
23	1543.511981956583	524.2314632083451	2821.658803932679	23	0.0
24	1543.1109107303878	524.7430117222723	2705.025663848014	24	0.0
25	1543.431186662308	525.6711343576333	2469.935464578671	25	0.0
26	1544.2325341582882	527.1562258313999	3147.2532578216515	26	0.0
27	1543.435341136169	527.7724807308022	2835.901253448673	27	0.0
28	1543.050847457627	528.638418079096	2875.317639055285	28	0.0
29	1542.4891749561148	529.7440023405501	2678.9750467547988	29	0.0
30	1542.3136486893643	530.8032539921663	2658.95720347032	30	0.0
31	1542.1026650514839	531.6589945487583	2683.4915866892443	31	0.0
32	1542.1745325022262	533.0635203324429	2680.1224929592604	32	0.0
33	1541.2026774595267	534.6768368617684	2488.3587195668524	33	0.0
34	1541.0472417840376	535.7171361502348	2682.7809122912035	34	0.0
35	1540.8230892570818	536.603153393907	2871.0034922779996	35	0.0
36	1541.017396346767	537.5326181501885	2740.1122298260943	36	0.0
37	1541.251240694789	538.5725806451613	2546.6562346841815	37	0.0
38	1541.3666056166055	539.9746642246643	2564.540338204878	38	0.0
39	1540.8497970230042	540.117050067659	2322.504070249715	39	0.0
40	1540.9371763893682	540.5384880911288	2310.7828319216574	40	0.0
41	1540.9623009424765	541.7114072148196	2379.3323159545234	41	0.0
